numero_base,classe,descricao
010694,1,Antioxidantes para uso na fabricação de cosméticos
010695,1,Antioxidantes para uso na fabricação de produtos farmacêuticos
010696,1,Antioxidantes para uso na fabricação de suplementos alimentares
010697,1,Proteínas para uso em manufatura
010698,1,Proteínas para uso na fabricação de suplementos alimentares
010699,1,Proteínas para a indústria alimentícia
010700,1,Nitrato de amônio
010701,1,Vitaminas para uso na fabricação de produtos farmacêuticos
010702,1,Vitaminas para uso na fabricação de cosméticos
010703,1,Flavonóides [compostos fenólicos] para fins industriais
010704,1,Timol para fins industriais
010705,1,Terra vegetal
010706,1,Óleo para transmissão
010707,1,"Resinas poliméricas, não processadas"
010708,1,Revestimentos químicos para lentes oftálmicas
010709,1,Calomelo [cloreto de mercúrio]
010710,1,Esterco
010711,1,Xilol
010712,1,Xileno [xilênio]
010713,1,Benzeno
010714,1,Benzol
010715,1,Grafeno
010716,1,Gipsita para uso como fertilizante
010717,1,"Nanopós para fins industriais Polímeros à base de dendrímeros, utilizados na fabricação de cápsulas para produtos 1 farmacêuticos"
010719,1,Preparações químicas para prevenir doenças de plantas cerealíferas
010720,1,Bioestimulantes para plantas
010721,1,"Resinas condutoras, não processadas"
010722,1,Adesivos condutivos
010723,1,Lixívia para a indústria alimentícia
010724,1,Levedura para fins científicos
010725,1,Levedura para uso na produção de biocombustível
010726,1,Pasta térmica
010727,1,"Tiras de diagnóstico para testar leite materno, exceto para uso médico ou veterinário"
010728,1,Extratos de plantas para a indústria alimentícia
010729,1,Extratos de plantas para uso na fabricação de cosméticos
010730,1,Extratos de plantas para uso na fabricação de produtos farmacêuticos
010731,1,Ingredientes químicos ativos
010732,1,Dióxido de carbono para fins industriais
010733,1,Adoçantes artificiais para a indústria alimentícia
010734,1,Sacarina para a indústria alimentícia
010735,1,Aspartame para fins industriais
010736,1,Aspartame para a indústria alimentícia
010737,1,"Fluidos dielétricos como preparação química para uso em metalurgia, exceto óleos"
010738,1,Extratos de origem animal para a indústria alimentícia
010739,1,"Caldos para culturas bacteriológicas, exceto para fins médicos ou veterinários"
010739,1,"Meios para culturas bacteriológicas, exceto para fins médicos ou veterinários"
010740,1,Preparações de diagnóstico para uso em laboratório de pesquisa
010741,1,Ingredientes químicos ativos para uso na fabricação de produtos farmacêuticos
010743,1,Terpenos
