descricao,classe
"Assessoria, consultoria e informação em avaliação de antigüidades",36
"Assessoria, consultoria e informação em avaliação de jóias",36
"Assessoria, consultoria e informação em avaliação de obras de arte",36
"Assessoria, consultoria e informação em avaliação filatélica",36
"Assessoria, consultoria e informação em avaliação imobiliária",36
"Assessoria, consultoria e informação em avaliação numismática",36
"Assessoria, consultoria e informação em cobrança e cadastro",36
"Assessoria, consultoria e informação em crédito",36
"Assessoria, consultoria e informação em empréstimos",36
"Assessoria, consultoria e informação em fundo de investimentos",36
"Assessoria, consultoria e informação em investimentos",36
"Assessoria, consultoria e informação em mercado de ações",36
"Assessoria, consultoria e informação em planejamento financeiro",36
"Assessoria, consultoria e informação em seguros",36
"Assessoria, consultoria e informação especializada em matéria de previdência privada",36
"Assessoria, consultoria e informação na área econômico-financeira",36
"Assessoria, consultoria e informação sobre planos de saúde",36
"Assessoria, consultoria e informação sobre seguros de saúde",36
"Assessoria, consultoria e informações financeiras prestadas a investidores",36
"Assessoria, consultoria e informações sobre atuaria [avaliação e administração de riscos]",36
"Assessoria, consultoria e informações sobre investimento bancário",36
Atuária,36
Avaliação de bens semoventes [valoração],36
Banco comercial [serviços financeiros],36
Banco de desenvolvimento [serviços financeiros],36
Banco de investimento [serviços financeiros],36
Banco múltiplo com ou sem carteira comercial [serviços financeiros],36
Caderneta de poupança [serviços financeiros],36
Caixa de aposentadoria [serviços financeiros],36
Câmbio monetário,36
Capitalização [serviços financeiros],36
Cartão de caixa [serviços financeiros],36
Carteira de investidor estrangeiro [serviços financeiros],36
"Cheque-refeição [serviços de pagamento de refeições através de tíquetes, vales ou cupons]",36
Clube de investimento [serviços financeiros],36
Cobertura de seguro médico para viajante [seguro-saúde],36
Comercialização de seguro saúde,36
Comércio de imóveis,36
Companhia hipotecária [serviços financeiros],36
Compensação de cheque [serviços financeiros],36
Compra e venda de imóveis,36
Concessão de bolsas de estudo,36
Consórcio de bens [serviços financeiros],36
Consórcio funerário,36
Constituição e administração de fundo de investimento [serviços financeiros],36
Cooperativa de crédito,36
Corretagem de seguro financeiro,36
Cotações de bolsa de mercadoria e de futuro,36
Crédito educativo,36
Custódia de valor,36
Depósito de valores,36
Desconto de título de crédito,36
Disponibilização de crédito para efetuar chamada telefônica,36
Emissão de bônus de valor,36
Emissão de debênture,36
"Empréstimo contra garantia, penhor",36
Garantia estendida,36
Gestão de risco financeiro,36
Home-banking,36
Incorporação de imóvel,36
"Informação sobre crédito de cheques, títulos e outros documentos",36
Informe financeiro relacionado à assessoria econômico-financeira,36
Leasing [financiamento] de veículos,36
Leasing de imóveis,36
Liquidação de sinistro,36
Loteamento imobiliário,36
Montepio,36
Participação em outras sociedades,36
Pecúlio,36
Perícia técnica na área de economia,36
Perícia técnica na área financeira,36
"Plano de assistência técnica automotiva, venda e administração",36
"Plano de saúde, venda e administração",36
"Plano funerário, venda e administração",36
Proteção ao crédito,36
Serviço de carteira de compensação entre negócios,36
Serviços de detecção de fraudes contra cartões de crédito,36
"Serviços de recarga de créditos de cartões magnéticos do tipo: vale refeição, alimentação ou combustível Serviços de time sharing",36
Administração de planos de previdência privada,36
Captação de recursos financeiros,36
"Site para efetuar pagamentos de taxas, consórcios, mensalidades",36
Subscrição de seguro,36
Vistoria prévia em veículo para seguradora e corretora de seguro,36
Abastecimento de veículos,37
Aluguel de compressores,37
Aluguel de ferramentas pneumáticas,37
Aluguel de máquina para limpeza,37
"Aperfeiçoamento de equipamento automotivo [instalação, manutenção, reparo][tuning]",37
"Aplicação de estaca tipo mega para eliminação de rachadura e trinca em prédio urbano e rural Assessoria, consultoria e informação em aluguel de equipamentos para construção",37
"Assessoria, consultoria e informação em construções",37
"Assessoria, consultoria e informação em dedetização",37
"Assessoria, consultoria e informação em manutenção de instalações de esgoto",37
"Assessoria, consultoria e informação em pintura de prédios",37
"Assessoria, consultoria e informação em reparo e manutenção de utensílios domésticos",37
"Assessoria, consultoria e informação em reparo e manutenção de veículos",37
"Assessoria, consultoria e informação em reparos no setor de aviação",37
"Assessoria, consultoria e informação em restauração de móveis",37
"Assessoria, consultoria e informação em serviços de revestimentos",37
"Assessoria, consultoria e informação em supervisão de construção",37
Assistência técnica de persianas,37
Assistência técnica e manutenção de computador [hardware],37
"Assistência técnica, consultoria e informação sobre filtros para piscina",37
Automação industrial [instalação e manutenção de máquinas],37
Calafetagem,37
"Calçado, reparo e manutenção",37
Capoteiro [conserto de capota de automóvel],37
"Coleta de materiais, exceto transporte e armazenamento",37
Colocação de piso e pedra,37
Concessionária de veículos [reparo/assistência técnica para veículos],37
Conserto de aparelho de som de veículo,37
Conserto de aparelho fotográfico,37
Conserto de autorrádio,37
Conserto de extintor,37
Conserto de guarda-chuva,37
Conserto de guarda-sol,37
Conserto de relógio,37
Conserto e manutenção de aparelho auditivo,37
Conserto e manutenção de aparelhos audiovisuais eletroeletrônicos,37
Conserto e manutenção de brinquedos,37
Conserto e manutenção de equipamentos de refrigeração,37
Conserto e manutenção de máquinas de lavar,37
Conserto e reparo de tapete,37
